iter	Passed	Remaining
0	12	12557
1	26	13199
2	38	12913
3	51	12811
4	64	12820
5	77	12810
6	90	12887
7	102	12740
8	116	12813
9	129	12846
10	142	12831
11	155	12841
12	168	12760
13	206	14570
14	235	15475
15	246	15180
16	259	14990
17	272	14841
18	285	14726
19	297	14578
20	312	14556
21	324	14445
22	332	14130
23	345	14046
24	357	13955
25	407	15270
26	420	15171
27	435	15133
28	449	15048
29	461	14930
30	470	14696
31	483	14621
32	496	14558
33	512	14571
34	524	14461
35	536	14375
36	565	14716
37	595	15070
38	609	15012
39	622	14929
40	634	14851
41	647	14771
42	660	14696
43	673	14631
44	683	14505
45	696	14448
46	708	14358
47	755	14988
48	768	14921
49	793	15075
50	805	14994
51	819	14943
52	833	14893
53	848	14859
54	865	14878
55	879	14831
56	897	14840
57	933	15162
58	964	15376
59	974	15269
60	989	15224
61	1008	15259
62	1021	15197
63	1035	15141
64	1048	15085
65	1064	15067
66	1078	15016
67	1122	15384
68	1132	15286
69	1146	15226
70	1170	15309
71	1182	15244
72	1199	15229
73	1222	15302
74	1236	15246
75	1250	15200
76	1301	15595
77	1315	15546
78	1328	15491
79	1355	15582
80	1375	15605
81	1399	15665
82	1412	15610
83	1428	15573
84	1442	15526
85	1490	15844
86	1501	15757
87	1513	15681
88	1540	15768
89	1554	15716
90	1576	15750
91	1590	15693
92	1604	15651
93	1618	15600
94	1658	15803
95	1675	15774
96	1703	15857
97	1716	15800
98	1729	15743
99	1756	15807
100	1769	15754
101	1787	15737
102	1801	15686
103	1848	15929
104	1887	16088
105	1917	16170
106	1939	16189
107	1953	16136
108	1967	16081
109	1981	16028
110	2030	16266
111	2045	16216
112	2059	16163
113	2087	16223
114	2100	16166
115	2120	16162
116	2134	16110
117	2149	16065
118	2162	16008
119	2199	16130
120	2221	16139
121	2245	16162
122	2260	16115
123	2274	16067
124	2288	16019
125	2303	15976
126	2337	16065
127	2368	16138
128	2421	16350
129	2436	16306
130	2457	16302
131	2471	16253
132	2485	16205
133	2498	16144
134	2512	16097
135	2577	16375
136	2591	16323
137	2624	16394
138	2662	16491
139	2696	16565
140	2718	16562
141	2732	16512
142	2746	16456
143	2800	16647
144	2849	16802
145	2863	16747
146	2893	16790
147	2906	16734
148	2924	16703
149	2938	16650
150	2950	16591
151	2980	16630
152	3008	16653
153	3059	16804
154	3072	16747
155	3090	16722
156	3104	16671
157	3118	16620
158	3144	16632
159	3157	16577
160	3223	16800
161	3262	16874
162	3276	16823
163	3304	16845
164	3318	16795
165	3337	16766
166	3366	16792
167	3416	16918
168	3430	16868
169	3446	16825
170	3460	16776
171	3474	16725
172	3506	16760
173	3521	16717
174	3576	16862
175	3594	16829
176	3624	16853
177	3639	16805
178	3653	16755
179	3666	16704
180	3680	16651
181	3705	16655
182	3740	16698
183	3777	16752
184	3791	16704
185	3808	16669
186	3822	16620
187	3836	16570
188	3849	16519
189	3862	16467
190	3885	16455
191	3898	16407
192	3960	16560
193	3974	16513
194	3988	16466
195	4001	16414
196	4014	16365
197	4029	16323
198	4042	16269
199	4055	16220
200	4068	16171
201	4113	16251
202	4128	16208
203	4140	16157
204	4168	16167
205	4182	16119
206	4195	16072
207	4208	16023
208	4220	15974
209	4235	15932
210	4248	15884
211	4298	15976
212	4311	15931
213	4325	15886
214	4338	15840
215	4355	15809
216	4368	15764
217	4381	15718
218	4394	15672
219	4407	15625
220	4419	15579
221	4432	15532
222	4468	15570
223	4485	15540
224	4505	15520
225	4520	15480
226	4533	15436
227	4545	15392
228	4558	15346
229	4571	15304
230	4584	15260
231	4597	15218
232	4613	15187
233	4647	15214
234	4680	15237
235	4695	15201
236	4711	15167
237	4724	15124
238	4735	15078
239	4747	15035
240	4761	14994
241	4773	14951
242	4786	14910
243	4799	14869
244	4850	14947
245	4864	14909
246	4881	14880
247	4894	14841
248	4908	14804
249	4922	14766
250	4934	14724
251	4947	14684
252	4960	14645
253	4973	14605
254	5028	14690
255	5041	14651
256	5054	14612
257	5067	14574
258	5080	14534
259	5107	14535
260	5135	14541
261	5148	14503
262	5162	14465
263	5199	14496
264	5218	14475
265	5231	14435
266	5244	14396
267	5257	14360
268	5275	14334
269	5288	14298
270	5303	14267
271	5317	14231
272	5330	14195
273	5349	14175
274	5363	14139
275	5380	14112
276	5392	14075
277	5405	14038
278	5418	14003
279	5432	13968
280	5445	13932
281	5458	13896
282	5474	13868
283	5492	13846
284	5505	13812
285	5519	13778
286	5533	13746
287	5546	13712
288	5559	13678
289	5585	13675
290	5599	13642
291	5613	13609
292	5626	13576
293	5675	13629
294	5693	13605
295	5709	13580
296	5723	13547
297	5736	13513
298	5751	13484
299	5765	13453
300	5805	13481
301	5821	13454
302	5847	13450
303	5860	13417
304	5873	13384
305	5892	13364
306	5905	13330
307	5917	13295
308	5931	13263
309	5944	13230
310	5957	13198
311	5970	13166
312	5986	13140
313	5999	13107
314	6012	13074
315	6024	13041
316	6090	13122
317	6103	13089
318	6116	13058
319	6129	13025
320	6142	12992
321	6167	12986
322	6182	12957
323	6197	12930
324	6251	12984
325	6264	12952
326	6280	12925
327	6304	12916
328	6340	12932
329	6353	12900
330	6368	12870
331	6380	12838
332	6393	12806
333	6407	12776
334	6419	12743
335	6432	12712
336	6448	12687
337	6464	12661
338	6503	12680
339	6516	12649
340	6531	12621
341	6543	12589
342	6556	12559
343	6588	12563
344	6604	12539
345	6660	12589
346	6672	12557
347	6689	12532
348	6702	12501
349	6715	12471
350	6737	12458
351	6750	12427
352	6767	12403
353	6785	12382
354	6815	12383
355	6831	12358
356	6847	12333
357	6860	12302
358	6880	12285
359	6894	12256
360	6907	12226
361	6922	12200
362	6935	12170
363	6951	12145
364	6963	12114
365	6979	12089
366	6992	12061
367	7015	12047
368	7033	12027
369	7059	12020
370	7075	11996
371	7088	11966
372	7105	11944
373	7118	11915
374	7134	11891
375	7152	11869
376	7166	11843
377	7179	11814
378	7199	11795
379	7212	11767
380	7224	11738
381	7252	11733
382	7266	11706
383	7305	11719
384	7318	11691
385	7333	11665
386	7347	11638
387	7360	11609
388	7375	11585
389	7389	11558
390	7404	11532
391	7416	11503
392	7430	11476
393	7447	11454
394	7464	11432
395	7501	11441
396	7520	11422
397	7552	11424
398	7568	11400
399	7623	11434
400	7639	11411
401	7658	11392
402	7672	11366
403	7686	11340
404	7718	11339
405	7733	11315
406	7772	11324
407	7786	11298
408	7806	11279
409	7824	11259
410	7843	11240
411	7856	11213
412	7870	11186
413	7918	11207
414	7937	11189
415	7970	11189
416	7984	11163
417	8036	11188
418	8049	11161
419	8068	11142
420	8083	11117
421	8097	11090
422	8117	11072
423	8131	11046
424	8153	11030
425	8181	11023
426	8216	11025
427	8230	10999
428	8257	10991
429	8270	10963
430	8289	10944
431	8303	10917
432	8317	10891
433	8359	10902
434	8374	10877
435	8428	10902
436	8443	10877
437	8461	10856
438	8479	10836
439	8521	10845
440	8540	10825
441	8587	10841
442	8600	10813
443	8635	10814
444	8648	10786
445	8662	10760
446	8702	10766
447	8733	10760
448	8783	10779
449	8819	10779
450	8836	10756
451	8851	10731
452	8875	10716
453	8889	10690
454	8903	10664
455	8965	10695
456	8979	10669
457	9015	10669
458	9031	10644
459	9058	10633
460	9089	10627
461	9137	10641
462	9157	10620
463	9175	10598
464	9188	10571
465	9202	10545
466	9234	10539
467	9249	10514
468	9279	10506
469	9338	10530
470	9361	10513
471	9395	10510
472	9431	10508
473	9445	10481
474	9478	10475
475	9515	10475
476	9556	10477
477	9570	10451
478	9591	10432
479	9607	10408
480	9623	10383
481	9637	10357
482	9657	10336
483	9684	10324
484	9722	10324
485	9737	10298
486	9757	10278
487	9770	10251
488	9786	10227
489	9801	10201
490	9816	10176
491	9847	10167
492	9916	10197
493	9933	10174
494	9968	10170
495	9983	10144
496	10005	10125
497	10023	10103
498	10045	10085
499	10076	10076
500	10121	10080
501	10134	10053
502	10150	10029
503	10163	10002
504	10177	9975
505	10206	9964
506	10220	9938
507	10240	9917
508	10271	9908
509	10305	9901
510	10318	9873
511	10334	9850
512	10347	9823
513	10360	9796
514	10382	9777
515	10395	9750
516	10408	9723
517	10420	9696
518	10445	9681
519	10462	9657
520	10476	9632
521	10496	9611
522	10509	9585
523	10522	9559
524	10535	9532
525	10548	9506
526	10564	9481
527	10576	9455
528	10593	9432
529	10622	9420
530	10641	9398
531	10660	9377
532	10678	9356
533	10690	9329
534	10703	9303
535	10719	9279
536	10731	9253
537	10746	9228
538	10759	9202
539	10772	9176
540	10821	9181
541	10833	9154
542	10847	9129
543	10863	9106
544	10877	9081
545	10903	9065
546	10916	9040
547	10929	9015
548	10942	8989
549	10955	8963
550	11001	8964
551	11014	8939
552	11028	8914
553	11041	8889
554	11054	8863
555	11072	8842
556	11088	8819
557	11103	8795
558	11116	8769
559	11129	8744
560	11142	8719
561	11169	8705
562	11184	8681
563	11197	8656
564	11211	8631
565	11223	8606
566	11237	8582
567	11249	8556
568	11263	8531
569	11276	8506
570	11290	8482
571	11306	8460
572	11318	8434
573	11351	8424
574	11368	8402
575	11384	8380
576	11397	8355
577	11409	8330
578	11427	8308
579	11440	8284
580	11454	8260
581	11467	8236
582	11481	8212
583	11501	8192
584	11515	8169
585	11551	8160
586	11563	8136
587	11579	8113
588	11593	8089
589	11605	8064
590	11639	8054
591	11651	8030
592	11666	8007
593	11683	7985
594	11699	7963
595	11713	7939
596	11752	7933
597	11765	7909
598	11778	7885
599	11791	7861
600	11804	7836
601	11832	7822
602	11847	7799
603	11859	7775
604	11872	7751
605	11905	7740
606	11921	7718
607	11935	7695
608	11949	7671
609	11962	7647
610	11978	7626
611	11991	7602
612	12004	7578
613	12017	7555
614	12030	7531
615	12046	7509
616	12074	7495
617	12102	7480
618	12114	7456
619	12129	7434
620	12142	7410
621	12156	7387
622	12172	7365
623	12185	7342
624	12200	7320
625	12213	7296
626	12226	7273
627	12239	7250
628	12252	7226
629	12289	7217
630	12312	7200
631	12324	7176
632	12339	7154
633	12352	7131
634	12365	7107
635	12380	7085
636	12394	7063
637	12408	7040
638	12421	7017
